phase14_case_key,source_table,model_name,case_category,phase14_initial_basin_class,X_transport_memory,Y_topology_memory,E_entropy_memory,M_memory_strength,Z_basin_survival,P_erasure,P_topology_only_survival,R_memory_retention,XY_memory_radius,topology_minus_transport_memory,transport_topology_asymmetry,normalized_entropy_memory,normalized_memory_strength,basin_depth_proxy,basin_depth_proxy_norm,phase14_basin_class,relaxation_layer
1315,hysteresis,base_stabilized_coupling,self_reinforced_transport,coupled_memory_basin,0.999999999954465,0.9929410038972778,0.318275008101315,0.9571813293907606,,,,,1.4092309381820511,-0.0070589960571871835,-0.003541999509037533,0.13003661353294485,0.9758784332918445,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1316,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9986180286220622,0.1254235677888147,0.3668638909090169,,,,,0.9986180286220622,0.9986180286220622,0.9999999999989987,0.05107829765809472,0.35873332839018796,0.9986180286220622,0.43071915518727855,topology_only_basin,transport_relaxed_topology_persistent
1317,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9729614127170214,0.1916533339400867,0.3996654232072665,,,,,0.9729614127170214,0.9729614127170214,0.9999999999989723,0.07819445913252179,0.39302556468800554,0.9729614127170214,0.41965306624150617,topology_only_basin,transport_relaxed_topology_persistent
1318,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.544256112944937,0.1857292452950347,0.2891627677320326,,,,,0.544256112944937,0.544256112944937,0.9999999999981627,0.0757689856087116,0.2775009867921352,0.544256112944937,0.234745945350717,topology_only_basin,transport_relaxed_topology_persistent
1319,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.8498389427098945,0.1014369270948361,0.2962307440808349,,,,,0.8498389427098945,0.8498389427098945,0.9999999999988234,0.041257552997734856,0.28489017559272817,0.8498389427098945,0.36654847094472826,topology_only_basin,transport_relaxed_topology_persistent
1320,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9683818501223388,0.6825016004477562,0.4853552664521533,,,,,0.9683818501223388,0.9683818501223388,0.9999999999989674,0.2791603031559488,0.4826096830809567,0.9683818501223388,0.4176778311912931,topology_only_basin,transport_relaxed_topology_persistent
1321,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9884823416365368,1.858400387418424,0.4952823501150165,,,,,0.9884823416365368,0.9884823416365368,0.9999999999989884,0.760603364758351,0.4929879146714752,0.9884823416365368,0.4263474791204324,topology_only_basin,transport_relaxed_topology_persistent
1322,hysteresis,base_stabilized_coupling,self_reinforced_transport,topology_only_basin,0.0,0.9947983514887564,2.4431137947486428,0.498261912802161,,,,,0.9947983514887564,0.9947983514887564,0.9999999999989948,0.9999999999995905,0.4961028870697973,0.9947983514887564,0.4290716703023764,topology_only_basin,transport_relaxed_topology_persistent
1323,hysteresis,neutral_coupling,self_reinforced_transport,coupled_memory_basin,0.7671014308863727,0.5852246024968951,0.0683188875623339,0.5665405975352875,,,,,0.9648484029294805,-0.1818768283894776,-0.13449184878466117,0.02769817992628787,0.5674845764885416,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1324,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.6411378529154506,0.1107276714517892,0.0026770736118013,0.3508698277358648,,,,,0.6506292059738552,-0.5304101814636614,-0.7054588410731324,0.0008227411320236777,0.34201239630966984,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1325,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.3815645140317336,0.3478964161946532,0.0670544843837106,0.3246754594604195,,,,,0.5163558799600876,-0.03366809783708036,-0.04615476503530542,0.027180500901391152,0.31462759433133175,0.0,0.0,transition_basin,intermediate_relaxation
1326,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.0843445921032675,0.4997414166445647,0.0652175019413814,0.2092573244755258,,,,,0.5068091294826712,0.41539682454129717,0.7111911915697429,0.02642839327023761,0.19396414721040003,0.41539682454129717,0.17916697296241152,transition_basin,intermediate_relaxation
1327,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.4740948020234867,0.4744902873061405,0.0372189449449167,0.3778660760556944,,,,,0.6707510074935056,0.000395485282653818,0.00041692125155888093,0.014965067386933024,0.37023552070887844,0.000395485282653818,0.00017057882188317947,transition_basin,intermediate_relaxation
1328,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.6822522746887347,0.4146541634030529,0.1546212173210377,0.580837036604303,,,,,0.7983772551528747,-0.26759811128568184,-0.2439570978824409,0.06303256271742082,0.5824307339519901,0.0,0.0,transition_basin,intermediate_relaxation
1329,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.7805068101319568,0.4236564461229901,0.2310393002032063,0.6659873426378876,,,,,0.8880741326060141,-0.3568503640089667,-0.2963471623594513,0.09432008184086312,0.6714507952340352,0.0,0.0,transition_basin,intermediate_relaxation
1330,hysteresis,neutral_coupling,self_reinforced_transport,coupled_memory_basin,0.88569566137908,0.8536314102393115,0.0879002006589244,0.7275904837930725,,,,,1.2300989346930116,-0.03206425113976841,-0.01843486004614138,0.035715270709844316,0.7358535631893035,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1331,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.7912281806168585,0.3939170328193763,0.1736779109861088,0.6406930361962151,,,,,0.8838623549781299,-0.3973111477974822,-0.33524258740004925,0.07083486087759384,0.6450069594522071,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1332,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.5402483288088658,0.3386540289952827,0.212502144118579,0.5230553983518689,,,,,0.6376165055387997,-0.20159429981358307,-0.22937053021113443,0.08673049566416849,0.5220231415684714,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1333,hysteresis,neutral_coupling,self_reinforced_transport,topology_only_basin,0.0757725880889391,0.5245960709722814,0.0809796110829594,0.2376442272487822,,,,,0.5300401143170684,0.44882348288334234,0.7475798013580645,0.03288180419855573,0.22364112598116395,0.44882348288334234,0.19358439947501496,topology_only_basin,transport_relaxed_topology_persistent
1334,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.6009240700106019,0.4871928580304351,0.1084346041354114,0.5119708012482065,,,,,0.7736062427578841,-0.11373121198016678,-0.1045211310008891,0.044122581090159825,0.5104347919850228,0.0,0.0,transition_basin,intermediate_relaxation
1335,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.8107130297244122,0.4579281971706357,0.232688256174534,0.6986580796284204,,,,,0.9311035658447905,-0.35278483255377646,-0.27808085144523176,0.09499520662207729,0.7056062920784002,0.0,0.0,transition_basin,intermediate_relaxation
1336,hysteresis,neutral_coupling,self_reinforced_transport,coupled_memory_basin,0.8899328355531735,0.5156532943461981,0.3077528663473674,0.7761228953695434,,,,,1.028532338706858,-0.3742795412069754,-0.2662800473376216,0.12572857937493243,0.7865915869727865,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1337,hysteresis,neutral_coupling,self_reinforced_transport,coupled_memory_basin,0.900861251138424,0.9653677908975,0.2149126338088938,0.857301390914895,,,,,1.3204112864956152,0.06450653975907605,0.03456517839239572,0.08771741184209557,0.8714593341935797,0.06450653975907605,0.027822652418384355,coupled_memory_basin,transport_and_topology_unrelaxed
1338,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.8097120678294928,0.4804979138548393,0.3457238418518256,0.7419255230953363,,,,,0.9415475973138935,-0.3292141539746535,-0.2551632359444458,0.1412748686486811,0.7508400751187467,0.0,0.0,transition_basin,intermediate_relaxation
1339,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.5676211641796782,0.245275479481812,0.2076121593526236,0.5126238664897044,,,,,0.6183476747427179,-0.32234568469786623,-0.3965395689734232,0.0847284107373053,0.5111175365402378,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1340,hysteresis,neutral_coupling,self_reinforced_transport,transition_basin,0.0476986299738319,0.3366193975081525,0.006868176748525,0.1192552922894393,,,,,0.3399820261133405,0.2889207675343206,0.7517752144663902,0.0025386860313579614,0.09987186740633253,0.2889207675343206,0.12461592454940522,transition_basin,intermediate_relaxation
1341,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.6029286848789541,0.3139314340353988,0.082703513259406,0.453325582783194,,,,,0.6797616820072953,-0.2889972508435553,-0.3152032080809007,0.03358761387446298,0.44912437297613234,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1342,hysteresis,neutral_coupling,self_reinforced_transport,transport_dominant_basin,0.8198013854209366,0.3835720517644286,0.170442115521042,0.6515371281124319,,,,,0.9050976910990661,-0.436229333656508,-0.36250537046626663,0.06951004339101896,0.6563438738086746,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1343,hysteresis,neutral_coupling,self_reinforced_transport,coupled_memory_basin,0.9025363738655996,0.5752524447040153,0.2729367969605518,0.7879571816931549,,,,,1.0702743953250549,-0.32728392916158433,-0.2214686733644042,0.11147398941848552,0.7989636962796123,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1344,hysteresis,suppression_sensitive_coupling,self_reinforced_transport,coupled_memory_basin,0.9999999998722978,0.7188798531265163,0.1132350994722344,0.777321503857715,,,,,1.2315795723280722,-0.28112014674578156,-0.16354845642943955,0.04608802675417153,0.7878446676255811,0.0,0.0,coupled_memory_basin,transport_and_topology_unrelaxed
1345,hysteresis,suppression_sensitive_coupling,self_reinforced_transport,transport_dominant_basin,0.9999999998179472,0.3517689806787135,0.0537030330020309,0.624969556038296,,,,,1.060066703280334,-0.6482310191392338,-0.47954275360023735,0.021714074962989497,0.6285689073485199,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1346,hysteresis,suppression_sensitive_coupling,self_reinforced_transport,transport_dominant_basin,0.8587794605536964,0.1721088332547462,0.0106870905364528,0.4855983341439499,,,,,0.875855931277061,-0.6866706272989501,-0.6660960565974567,0.00410224708476472,0.4828637972682959,0.0,0.0,transport_dominant_basin,transport_unrelaxed_topology_relaxed
1347,hysteresis,suppression_sensitive_coupling,self_reinforced_transport,transition_basin,0.111405985301076,0.429897283728207,0.0345148232710119,0.1843828304815856,,,,,0.4440979262705401,0.31849129842713103,0.5883786717151954,0.013857930759142104,0.167959202743999,0.31849129842713103,0.13737014460105515,transition_basin,intermediate_relaxation
