state_noise,coupling_noise,trial_count,observed_state_count,basin_entropy,basin_entropy_norm_observed,basin_entropy_norm_global,dominant_state,dominant_state_probability,p_memory_erased,p_mixed_or_weak_memory,p_partial_topology_memory,p_topology_only_memory_survived
0.05,0.01,150,4,1.3540250128877063,0.9767225856663543,0.9767225856663543,partial_topology_memory,0.32,0.16,0.22666666666666666,0.32,0.29333333333333333
0.05,0.025,150,4,1.3295343337896077,0.9590562950249395,0.9590562950249395,partial_topology_memory,0.3333333333333333,0.12,0.26666666666666666,0.3333333333333333,0.28
0.05,0.05,150,4,1.364155500830659,0.984030188024896,0.984030188024896,topology_only_memory_survived,0.3,0.18,0.22,0.3,0.3
0.05,0.1,150,4,1.3729131944164588,0.9903475285778252,0.9903475285778252,partial_topology_memory,0.31333333333333335,0.2,0.23333333333333334,0.31333333333333335,0.25333333333333335
0.05,0.2,150,4,1.343652847314217,0.9692406497482783,0.9692406497482783,partial_topology_memory,0.34,0.15333333333333332,0.29333333333333333,0.34,0.21333333333333335
0.1,0.0,150,1,-0.0,0.0,-0.0,topology_only_memory_survived,1.0,0.0,0.0,0.0,1.0
0.1,0.001,150,4,1.264889778201522,0.9124251051412384,0.9124251051412384,partial_topology_memory,0.41333333333333333,0.08666666666666667,0.21333333333333335,0.41333333333333333,0.2866666666666667
0.1,0.005,150,4,1.3271814277317178,0.9573590320742418,0.9573590320742418,topology_only_memory_survived,0.30666666666666664,0.11333333333333333,0.2866666666666667,0.29333333333333333,0.30666666666666664
0.1,0.01,150,4,1.3125876796722573,0.9468318680975585,0.9468318680975585,partial_topology_memory,0.4,0.13333333333333333,0.21333333333333335,0.4,0.25333333333333335
0.1,0.025,150,4,1.364602261428739,0.9843524576745533,0.9843524576745533,partial_topology_memory,0.32,0.19333333333333333,0.20666666666666667,0.32,0.28
0.1,0.05,150,4,1.2958476467097597,0.9347564868279019,0.9347564868279019,partial_topology_memory,0.42,0.14,0.17333333333333334,0.42,0.26666666666666666
