state_noise,coupling_noise,combined_noise_radius,trial_count,count_topology_only_memory_survived,p_topology_only_memory_survived,count_partial_topology_memory,p_partial_topology_memory,count_mixed_or_weak_memory,p_mixed_or_weak_memory,count_memory_erased,p_memory_erased,dominant_state,dominant_probability,transition_entropy,transition_entropy_norm,degradation_index,survival_mass,erasure_mass,ambiguous_mass
0.025,0.001,0.02501999200639361,150,54,0.36,46,0.30666666666666664,37,0.24666666666666667,13,0.08666666666666667,topology_only_memory_survived,0.36,1.287495646310886,0.928731792049423,0.35333333333333333,0.6666666666666666,0.08666666666666667,0.5533333333333333
0.025,0.005,0.025495097567963927,150,45,0.3,49,0.32666666666666666,37,0.24666666666666667,19,0.12666666666666668,partial_topology_memory,0.32666666666666666,1.333653227302364,0.962027448647341,0.4000000000000001,0.6266666666666667,0.12666666666666668,0.5733333333333334
0.025,0.01,0.026925824035672525,150,50,0.3333333333333333,56,0.37333333333333335,26,0.17333333333333334,18,0.12,partial_topology_memory,0.37333333333333335,1.2922483168744878,0.9321601191759668,0.36000000000000004,0.7066666666666667,0.12,0.5466666666666666
0.025,0.025,0.03535533905932738,150,50,0.3333333333333333,59,0.3933333333333333,33,0.22,8,0.05333333333333334,partial_topology_memory,0.3933333333333333,1.222661018605074,0.8819634941148944,0.3311111111111111,0.7266666666666666,0.05333333333333334,0.6133333333333333
0.025,0.05,0.05590169943749475,150,42,0.28,44,0.29333333333333333,40,0.26666666666666666,24,0.16,partial_topology_memory,0.29333333333333333,1.361869041074835,0.9823808559494364,0.43555555555555553,0.5733333333333334,0.16,0.56
0.025,0.1,0.10307764064044153,150,37,0.24666666666666667,50,0.3333333333333333,34,0.22666666666666666,29,0.19333333333333333,partial_topology_memory,0.3333333333333333,1.3656156277909168,0.9850834469872122,0.45555555555555555,0.58,0.19333333333333333,0.5599999999999999
0.025,0.2,0.20155644370746376,150,25,0.16666666666666666,48,0.32,46,0.30666666666666664,31,0.20666666666666667,partial_topology_memory,0.32,1.3515642826107779,0.9749475439826094,0.5177777777777778,0.4866666666666667,0.20666666666666667,0.6266666666666667
0.05,0.0,0.05,150,150,1.0,0,0.0,0,0.0,0,0.0,topology_only_memory_survived,1.0,-0.0,-0.0,0.0,1.0,0.0,0.0
0.05,0.001,0.05000999900019996,150,46,0.30666666666666664,40,0.26666666666666666,43,0.2866666666666667,21,0.14,topology_only_memory_survived,0.30666666666666664,1.348373570295783,0.9726459315657362,0.4200000000000001,0.5733333333333333,0.14,0.5533333333333333
0.05,0.005,0.05024937810560445,150,46,0.30666666666666664,63,0.42,25,0.16666666666666666,16,0.10666666666666667,partial_topology_memory,0.42,1.2641799129048794,0.9119130455696556,0.3577777777777778,0.7266666666666666,0.10666666666666667,0.5866666666666667
